Case Number,Business Name,Agent Attorney Name,Worksite State,Randomization Group,Link
H-400-24005-618830,Denali Hospitality Group INC,Damjan Denoble,ALASKA,B,https://seasonaljobs.dol.gov/jobs/H-400-24005-618830
H-400-24005-618803,Denali Hospitality Group INC,Damjan Denoble,ALASKA,E,https://seasonaljobs.dol.gov/jobs/H-400-24005-618803
H-400-24005-618823,Denali Hospitality Group INC,Damjan Denoble,ALASKA,E,https://seasonaljobs.dol.gov/jobs/H-400-24005-618823
H-400-24004-616086,Denali Visions 3000 Inc.,Damjan Denoble,ALASKA,A,https://seasonaljobs.dol.gov/jobs/H-400-24004-616086
H-400-24004-616860,Denali Visions 3000 Inc.,Damjan Denoble,ALASKA,B,https://seasonaljobs.dol.gov/jobs/H-400-24004-616860
H-400-24004-615868,Denali Visions 3000 Inc.,Damjan Denoble,ALASKA,D,https://seasonaljobs.dol.gov/jobs/H-400-24004-615868
H-400-24004-615961,Denali Visions 3000 Inc.,Damjan Denoble,ALASKA,F,https://seasonaljobs.dol.gov/jobs/H-400-24004-615961
H-400-24004-616020,Denali Visions 3000 Inc.,Damjan Denoble,ALASKA,F,https://seasonaljobs.dol.gov/jobs/H-400-24004-616020
H-400-24002-606897,Denek Contracting Inc ,Michele Contreras,MICHIGAN,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-606897
H-400-24005-618730,Denise Dlugosch,Juan Castro,TEXAS,F,https://seasonaljobs.dol.gov/jobs/H-400-24005-618730
H-400-24002-604506,"Denkers Property Maintenance, LLC.",Maritza Navarrete,UTAH,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-604506
H-400-24002-609602,"DENNIS OYSTER COMPANY, LLC",MARK CARCHIDI,MASSACHUSETTS,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-609602
H-400-24003-611856,"DENNIS OYSTER COMPANY, LLC",MARK CARCHIDI,MASSACHUSETTS,D,https://seasonaljobs.dol.gov/jobs/H-400-24003-611856
H-400-24002-605878,"Denver Commercial Property Services, Inc.",Vanessa Ryman,COLORADO,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-605878
H-400-24002-601761,"Dependable Lawn Care, Inc.",Cooper Hufman,ILLINOIS,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-601761
H-400-24002-608437,"Desert Pearl Inn, LLC",Loan Huynh,UTAH,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-608437
H-400-24002-608453,"Desert Pearl Inn, LLC",Loan Huynh,UTAH,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-608453
H-400-24002-606543,Designing Nature Inc.,Meagan Kirchner,MINNESOTA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-606543
H-400-24002-609996,"Designs by Stonescapes, Inc.",Mimi Alworth,COLORADO,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-609996
H-400-24005-619084,Desmond's Taste of Jamaica LLC,Stacey-Ann Maxwell,ALABAMA,C,https://seasonaljobs.dol.gov/jobs/H-400-24005-619084
H-400-24005-619121,Desmond's Taste of Jamaica LLC,Stacey-Ann Maxwell,ALABAMA,E,https://seasonaljobs.dol.gov/jobs/H-400-24005-619121
H-400-24002-605508,Destin Fire Control District,Kendra Kembel,FLORIDA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-605508
H-400-24004-616783,"Destin VIP Cleaning, LLC",Michele Contreras,ALABAMA,B,https://seasonaljobs.dol.gov/jobs/H-400-24004-616783
H-400-24003-614000,"Destin VIP Cleaning, LLC",Michele Contreras,FLORIDA,A,https://seasonaljobs.dol.gov/jobs/H-400-24003-614000
H-400-24002-603758,"Detailed Environments, Inc.",Jodi Ruis,PENNSYLVANIA,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-603758
H-400-24002-603476,Detailed Lawn Care Inc,Jodi Ruis,COLORADO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-603476
H-400-24003-611123,"Detillion Landscaping Company, Inc.",Veronica Birkenstock,OHIO,D,https://seasonaljobs.dol.gov/jobs/H-400-24003-611123
H-400-24002-609191,Deville's Lawn Service II LLC,Terri White,LOUISIANA,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-609191
H-400-24002-601517,Devils Thumb Ranch Operating Co Inc,Shaunette Constable,COLORADO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-601517
H-400-24002-602117,Devils Thumb Ranch Operating Co Inc,Shaunette Constable,COLORADO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-602117
H-400-24002-602214,Devils Thumb Ranch Operating Co Inc,Shaunette Constable,COLORADO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-602214
H-400-24002-601984,"Devils Thumb Ranch Operating Co, Inc",Shaunette Constable,COLORADO,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-601984
H-400-24002-601956,Devils Thumb Ranch Operating Co. Inc,Shaunette Constable,COLORADO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-601956
H-400-24002-601861,Devils Thumb Ranch Operating Co. Inc,Shaunette Constable,COLORADO,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-601861
H-400-24002-610160,"Dex By Terra, Inc.",Robert Kershaw,MASSACHUSETTS,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-610160
H-400-24002-610138,"Dex by Terra, Inc.",Robert Kershaw,MASSACHUSETTS,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-610138
H-400-24002-608067,DH Stowe Management LLC,Clark Trainor,VERMONT,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-608067
H-400-24002-605953,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605953
H-400-24002-605963,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605963
H-400-24002-605973,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605973
H-400-24002-606089,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-606089
H-400-24002-606098,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-606098
H-400-24002-606099,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-606099
H-400-24002-606046,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-606046
H-400-24002-606112,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-606112
H-400-24002-605955,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605955
H-400-24002-606025,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606025
H-400-24002-606035,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606035
H-400-24002-606056,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606056
H-400-24002-606107,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606107
H-400-24002-606068,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-606068
H-400-24002-606104,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-606104
H-400-24002-606073,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-606073
H-400-24002-605986,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-605986
H-400-24002-606083,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-606083
H-400-24002-605940,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605940
H-400-24002-605992,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605992
H-400-24002-605979,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605979
H-400-24002-606079,DHC MI Holdings LLC ,Keith Pabian,MICHIGAN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-606079
H-400-24002-606266,Diamond Concrete Cutting Inc,Stephanie Grattan,NEBRASKA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-606266
H-400-24004-618354,"Diamond Environmental Services, LP",Jeanne Malitz,CALIFORNIA,E,https://seasonaljobs.dol.gov/jobs/H-400-24004-618354
H-400-24004-618353,"Diamond Environmental Services, LP",Jeanne Malitz,CALIFORNIA,F,https://seasonaljobs.dol.gov/jobs/H-400-24004-618353
H-400-24002-609340,"DIAMOND HOSPITALITY, LLC",ROBERT MCCUBBIN,SOUTH DAKOTA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-609340
H-400-24002-609345,"DIAMOND HOSPITALITY, LLC",ROBERT MCCUBBIN,SOUTH DAKOTA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-609345
H-400-24002-609341,"DIAMOND HOSPITALITY, LLC",ROBERT MCCUBBIN,SOUTH DAKOTA,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-609341
H-400-24002-604590,"Diamond Landscapes, Inc.",Melissa Nolan,KENTUCKY,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-604590
H-400-24002-604592,"Diamond Landscapes, Inc.",Melissa Nolan,KENTUCKY,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-604592
H-400-24002-604510,"Diamond Property Services, LLC.",Maritza Navarrete,UTAH,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-604510
H-400-24002-610510,Diamonds International Alaska Ltd,Olivia Parise,ALASKA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-610510
H-400-24002-610530,Diamonds International of Alaska Ltd,Olivia Parise,ALASKA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-610530
H-400-24002-610493,Diamonds International of Alaska Ltd.,Olivia Parise,ALASKA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-610493
H-400-24002-609463,Diaz Landscaping Construction LLC,Jonathan Durket,WISCONSIN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-609463
H-400-24002-607660,"Diaz Landscaping, LLC",Michele Contreras,PENNSYLVANIA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-607660
H-400-24003-611194,DICK ANDERSON CONSTRUCTION INC,JOHN CARL ROGGE,MONTANA,E,https://seasonaljobs.dol.gov/jobs/H-400-24003-611194
H-400-24002-604200,"Dickey Construction, Inc.",Aaron Bernard,IOWA,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-604200
H-400-24002-603903,"Dicksons Lawn Care, LLC",Cooper Hufman,WEST VIRGINIA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-603903
H-400-24004-617891,"Diggers Diner, LLC",Evelyn Wright,NORTH CAROLINA,A,https://seasonaljobs.dol.gov/jobs/H-400-24004-617891
H-400-24002-601859,Diggin Landscaping Inc,Branislav Hruz,OHIO,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-601859
H-400-24002-603491,"Digging In The Dirt, LLC",Jodi Ruis,MARYLAND,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-603491
H-400-24002-604226,DILEO LANDSCAPING LTD,JOHN GISMONDI,NEW YORK,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-604226
H-400-24002-606715,DiMambro Construction LLC,Meagan Kirchner,MICHIGAN,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-606715
H-400-24002-608717,Dimensional Landscaping Inc,Anique Watson,MICHIGAN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-608717
H-400-24002-601927,"DiNunzio Landscaping and Snow Plowing, Inc.",Branislav Hruz,OHIO,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-601927
H-400-24002-605265,"DIONY GIL CONSTRUCTION, INC.",JOSEPH BISHOP,MASSACHUSETTS,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-605265
H-400-24002-603530,"DiPonio Contracting, Inc.",Cooper Hufman,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-603530
H-400-24002-601597,Dirt Dynamics,Bonnie Berscheid,NORTH DAKOTA,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-601597
H-400-24002-601683,Dirt Road Inc,Veronica Birkenstock,LOUISIANA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-601683
H-400-24002-601768,Dirt Road Inc,Veronica Birkenstock,TEXAS,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-601768
H-400-24002-602118,Dirt Road Inc,Veronica Birkenstock,TEXAS,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-602118
H-400-24002-602474,Dirt Road Inc,Veronica Birkenstock,TEXAS,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-602474
H-400-24002-601658,Dirt Road Inc,Veronica Birkenstock,TEXAS,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-601658
H-400-24002-607218,Dirty Deeds Lawn and Landscaping LLC,Craig McDougal,ILLINOIS,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-607218
H-400-24002-606846,Disandro Landscape Group Inc,Carl Hemphill,PENNSYLVANIA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-606846
H-400-24002-602424,Discount Doors Company (CL Land),Bradley Ahl,IDAHO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-602424
H-400-24002-602333,Discount Doors Company (Gen Land),Bradley Ahl,IDAHO,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-602333
H-400-24004-616183,"Distinct Contracting, LLC",Spyridon Sintsirmas,TENNESSEE,F,https://seasonaljobs.dol.gov/jobs/H-400-24004-616183
H-400-24002-603538,"Distinctive Landscape, Inc.",Cooper Hufman,UTAH,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-603538
H-400-24002-606043,"Distinguished Development, Inc.",Michele Contreras,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-606043
H-400-24002-601445,DIVERSIFIED CONTRACTORS LLC,JOHN GISMONDI,MARYLAND,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-601445
H-400-24002-602765,"Diversified Landscaping Management, LLC",Kirsten Corea,PENNSYLVANIA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-602765
H-400-24005-618833,"Diversify Construction and Painting, LLC ", ,GEORGIA,A,https://seasonaljobs.dol.gov/jobs/H-400-24005-618833
H-400-24002-602834,"Dixie Landscape, LLC",Kirsten Corea,FLORIDA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-602834
H-400-24002-601776,"Dixie Lawn Service, Inc.",Stacey Sphuler,NORTH CAROLINA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-601776
H-400-24002-609480,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-609480
H-400-24002-609554,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-609554
H-400-24002-609616,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-609616
H-400-24002-609220,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-609220
H-400-24002-609370,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-609370
H-400-24002-609531,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-609531
H-400-24002-609652,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-609652
H-400-24002-609715,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-609715
H-400-24002-609800,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-609800
H-400-24002-609272,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-609272
H-400-24002-609666,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-609666
H-400-24002-609700,"DJ's Landscape Management, LLC",James Judkins,MICHIGAN,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-609700
H-400-24002-605046,"DK Concrete, LLC",Rita Romero,INDIANA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605046
H-400-24002-608727,"DKC Landscaping & Lawn Maintenance Service, Inc.",Anique Watson ,PENNSYLVANIA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-608727
H-400-24002-602829,"DL Reforestation, Inc",Annika Green,OREGON,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-602829
H-400-24004-618371,Dlugosch III LLC,Juan Castro,TEXAS,A,https://seasonaljobs.dol.gov/jobs/H-400-24004-618371
H-400-24004-617330,"Dlugosch III, LLC",Juan Castro,TEXAS,B,https://seasonaljobs.dol.gov/jobs/H-400-24004-617330
H-400-24002-602054,DM Koehn Landscaping Inc.,Cooper Hufman,FLORIDA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-602054
H-400-24002-602468,"DNA Landscaping and Sod, LLC",Jeanette Duncan,FLORIDA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-602468
H-400-24002-605405,"DNC Parks & Resort at Tenaya, Inc.",Keith Pabian,CALIFORNIA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605405
H-400-24002-605487,"DNC Parks & Resorts at Grand Canyon, Inc.",Keith Pabian,ARIZONA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-605487
H-400-24002-605492,"DNC Parks & Resorts at Grand Canyon, Inc. ",Keith Pabian,ARIZONA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605492
H-400-24002-605529,"DNC Parks & Resorts at Kalaloch, Inc.",Keith Pabian,WASHINGTON,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605529
H-400-24002-605517,"DNC Parks & Resorts at Kalaloch, Inc.",Keith Pabian,WASHINGTON,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605517
H-400-24002-605536,"DNC Parks & Resorts at Kalaloch, Inc.",Keith Pabian,WASHINGTON,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605536
H-400-24002-605320,"DNC Parks & Resorts at Kings Canyon, Inc.",Keith Pabian,CALIFORNIA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605320
H-400-24002-605317,"DNC Parks & Resorts at Kings Canyon, Inc.",Keith Pabian,CALIFORNIA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-605317
H-400-24002-605316,"DNC Parks & Resorts at Kings Canyon, Inc.",Keith Pabian,CALIFORNIA,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605316
H-400-24002-605446,"DNC Parks & Resorts at Sequoia, Inc.",Keith Pabian,CALIFORNIA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-605446
H-400-24002-605433,"DNC Parks & Resorts at Sequoia, Inc.",Keith Pabian,CALIFORNIA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605433
H-400-24002-605450,"DNC Parks & Resorts at Sequoia, Inc.",Keith Pabian,CALIFORNIA,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-605450
H-400-24002-605306,"DNC Parks & Resorts at Shenandoah, Inc.",Keith Pabian,VIRGINIA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605306
H-400-24002-605312,"DNC Parks & Resorts at Shenandoah, Inc.",Keith Pabian,VIRGINIA,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-605312
H-400-24002-605310,"DNC Parks & Resorts at Shenandoah, Inc.",Keith Pabian,VIRGINIA,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-605310
H-400-24002-605387,"DNC Parks & Resorts at Tenaya, Inc.",Keith Pabian,CALIFORNIA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-605387
H-400-24002-605385,"DNC Parks & Resorts at Tenaya, Inc.",Keith Pabian,CALIFORNIA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605385
H-400-24002-605419,"DNC Parks & Resorts at Tenaya, Inc.",Keith Pabian,CALIFORNIA,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605419
H-400-24002-605404,"DNC Parks & Resorts Tusayan Hotel, Inc.",Keith Pabian,ARIZONA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605404
H-400-24002-605414,"DNC Parks & Resorts Tusayan Hotel, Inc.",Keith Pabian,ARIZONA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605414
H-400-24002-605421,"DNC Parks & Resorts Tusayan Hotel, Inc.",Keith Pabian,ARIZONA,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605421
H-400-24002-605471,"DNC Parks and Resorts at Gray Wolf and Yellowstone Park, Inc. ",Keith Pabian,MONTANA,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605471
H-400-24002-605460,"DNC Parks and Resorts of West Yellowstone, Inc.",Keith Pabian,MONTANA,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-605460
H-400-24002-605455,"DNC Parks and Resorts of West Yellowstone, Inc. ",Keith Pabian,MONTANA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605455
H-400-24004-617674,DO LLC,Elizabeth Ford,WEST VIRGINIA,G,https://seasonaljobs.dol.gov/jobs/H-400-24004-617674
H-400-24003-611898,"DOC'S LANDSCAPING & LAWN SERVICE , LLC.",Caroline Mueller,TENNESSEE,C,https://seasonaljobs.dol.gov/jobs/H-400-24003-611898
H-400-24002-603025,"Dogwood Services, Inc.",Katelyn Beaugrand,FLORIDA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-603025
H-400-24002-603193,Dohner Ltd.,Jodi Ruis,OHIO,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-603193
H-400-24002-607961,Dolegario Favela,Robert Kershaw,TEXAS,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-607961
H-400-24002-607939,Dolegario Favela,Robert Kershaw,TEXAS,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-607939
H-400-24002-608021,"Dolphin Marine Service, Inc. (DLF224A)	",Karen Schindler,MAINE,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-608021
H-400-24002-608018,"Dolphin Marine Service, Inc. (Line Cooks - DLF124A)	",Karen Schindler,MAINE,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-608018
H-400-24002-604201,"Domenick Bulfamante and Sons, Inc.",Jodi Ruis,NEW YORK,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-604201
H-400-24002-609518,Domiano Pools Inc.,Mitchell Zwaik,NEW YORK,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-609518
H-400-24002-607841,Dominic Vivona Company,James Judkins,SOUTH CAROLINA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-607841
H-400-24002-603981,"Don Julio Cocina, Inc.",Michael Lerner,NORTH CAROLINA,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-603981
H-400-24002-603427,"Don Julio Tequilas, LLC.",Michael Lerner,NORTH CAROLINA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-603427
H-400-24002-603937,"Don Rigo, Inc.",Michael Lerner,INDIANA,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-603937
H-400-24002-603804,"Don Rigo, Inc.",Michael Lerner,OHIO,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-603804
H-400-24002-604325,"Don Tequila Eastlake, LLC.", ,OHIO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-604325
H-400-24002-603745,Don Tequila Madison LTD, ,OHIO,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-603745
H-400-24002-604010,"Don Tequila Walbridge, LLC.", ,OHIO,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-604010
H-400-24002-601542,"Donald R. Miller Systems, Inc.",Veronica Birkenstock,PENNSYLVANIA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-601542
H-400-24002-601614,"Donald R. Miller Systems, Inc.",Veronica Birkenstock,PENNSYLVANIA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-601614
H-400-24002-603742,Donato Landscape LLC,Jodi Ruis,MICHIGAN,E,https://seasonaljobs.dol.gov/jobs/H-400-24002-603742
H-400-24002-605625,"Donovan Managment Company, LLC",Keith Pabian,MAINE,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605625
H-400-24002-605636,"Donovan Motel Company, LLC",Keith Pabian,MAINE,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-605636
H-400-24002-601979,"Doobie, Inc.",Elaine Trujillo,VIRGINIA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-601979
H-400-24002-602545,Door Sales and Installations LLC,Cooper Hufman,ARIZONA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-602545
H-400-24002-602687,Door Sales and Installations LLC,Cooper Hufman,ARIZONA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-602687
H-400-24002-602563,Door Sales and Installations LLC,Cooper Hufman,ARIZONA,F,https://seasonaljobs.dol.gov/jobs/H-400-24002-602563
H-400-24002-602443,Doran's Landscape,Cooper Hufman,ILLINOIS,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-602443
H-400-24002-605432,Dormie Network LLC ,Keith Pabian,NEBRASKA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-605432
H-400-24002-607450,Double A Contracting LP,Linda Seals,TEXAS,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-607450
H-400-24002-607404,"Double H Paving, Inc.",Stephanie Grattan,SOUTH DAKOTA,B,https://seasonaljobs.dol.gov/jobs/H-400-24002-607404
H-400-24002-605809,Doud's Market Inc.,James Aldrich,MICHIGAN,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-605809
H-400-24002-601674,"Douglas Kuhn Construction, Inc.",Emily Brown,NORTH DAKOTA,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-601674
H-400-24002-606173,"Douglass Candies, Inc.",Michele Contreras,NEW JERSEY,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-606173
H-400-24002-606179,"Douglass Candies, Inc.",Michele Contreras,NEW JERSEY,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-606179
H-400-24002-601818,Dowco Enterprises Inc.,Veronica Birkenstock,MISSOURI,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-601818
H-400-24002-602867,"Down To Earth Landscaping, Inc.",Katelyn Beaugrand,NEW JERSEY,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-602867
H-400-24002-602423,"Down To Earth Landscaping, Inc.",Katelyn Beaugrand,VIRGINIA,A,https://seasonaljobs.dol.gov/jobs/H-400-24002-602423
H-400-24002-601518,"Downing Enterprises, INC",Shaunette Constable,MICHIGAN,C,https://seasonaljobs.dol.gov/jobs/H-400-24002-601518
H-400-24002-606245,"DowntownLA, LLC",Michele Contreras,INDIANA,D,https://seasonaljobs.dol.gov/jobs/H-400-24002-606245
